'Time and date','Fp1.','Fp2.','C3.','C4.','P3.','P4.','O1.','O2.'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV'
'[19:17:00.000 21/01/2026]',-2.779759,-1.671305,0.8416127,0.1027072,4.610755E-10,4.610755E-10,0.4659311,-26.63314
'[19:17:00.008 21/01/2026]',0.298292,0.3181014,1.088924,1.846234,4.610755E-10,4.610755E-10,2.811639,-10.17318
'[19:17:00.016 21/01/2026]',1.816383,0.708014,1.112866,-1.316295,4.610755E-10,4.610755E-10,-0.3600863,9.471704
'[19:17:00.024 21/01/2026]',-1.926867,-1.315889,-4.008333,1.025662,4.610755E-10,4.610755E-10,-3.471278,5.701236
'[19:17:00.032 21/01/2026]',0.1337163,0.1112845,1.302075,-1.862796,4.610755E-10,4.610755E-10,-1.096962,37.80941
'[19:17:00.040 21/01/2026]',-3.915383,-3.119352,-2.980846,-3.065186,4.610755E-10,4.610755E-10,0.1608662,-50.50381
'[19:17:00.048 21/01/2026]',5.246963,1.06712,4.367341,2.489802,4.610755E-10,4.610755E-10,3.442817,-22.88053
'[19:17:00.056 21/01/2026]',2.143462,6.304652,2.575552,5.88288,4.610755E-10,4.610755E-10,0.376606,40.09629
'[19:17:00.064 21/01/2026]',-8.743454,-7.728283,-9.897539,-10.69923,4.610755E-10,4.610755E-10,-6.883761,32.14877
'[19:17:00.072 21/01/2026]',2.491974,0.06612005,4.615329,3.739842,4.610755E-10,4.610755E-10,5.748615,-51.32993
'[19:17:00.080 21/01/2026]',6.141984,6.442681,5.677895,7.352167,4.610755E-10,4.610755E-10,2.461624,12.82662
'[19:17:00.088 21/01/2026]',-4.980163,-3.713695,-4.787016,-7.898054,4.610755E-10,4.610755E-10,-5.066373,-35.46242
'[19:17:00.096 21/01/2026]',0.2330112,-1.889255,-1.447036,0.9364569,4.610755E-10,4.610755E-10,2.632957,49.24746
'[19:17:00.104 21/01/2026]',-1.044296,1.515891,-0.4456362,0.6225955,4.610755E-10,4.610755E-10,-3.061167,-11.7915
'[19:17:00.112 21/01/2026]',3.082932,0.7215324,4.074177,0.1992361,4.610755E-10,4.610755E-10,2.81632,-46.5793
'[19:17:00.120 21/01/2026]',-2.086433,-0.1864436,-3.831107,0.1460611,4.610755E-10,4.610755E-10,-2.627522,53.22147
'[19:17:00.128 21/01/2026]',-3.741503,-5.45329,-3.612709,-7.429538,4.610755E-10,4.610755E-10,-3.161218,3.317785
'[19:17:00.136 21/01/2026]',5.188996,6.226726,5.840306,10.03677,4.610755E-10,4.610755E-10,5.263019,-16.91159
