'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','AccX','AccY','AccZ','GyroX','GyroY','GyroZ','Battery','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]','uV','uV','uV','uV','uV','uV','uV','uV','G','G','G','Deg/s','Deg/s','Deg/s','%','Button'
'[13:17:00.000 21/01/2026]',-125020.4,-199738,-89020.91,-580.8771,-375000,-375000,-151035.2,-220172.4,0.02,0.00,0.89,-4,0,-2,5,0
'[13:17:00.004 21/01/2026]',-125015.7,-199718.8,-89019.17,-573.2775,-375000,-375000,-151033.1,-220139.7,0.02,0.00,0.89,-4,0,-2,5,0
'[13:17:00.008 21/01/2026]',-125025.8,-199668.9,-89027.62,-575.7362,-375000,-375000,-151038.2,-219908.6,0.02,0.00,0.89,-4,0,-2,5,0
'[13:17:00.012 21/01/2026]',-125025.2,-199680.7,-89023.28,-580.6536,-375000,-375000,-151030.1,-219901.9,0.02,0.00,0.89,-4,0,-2,5,0
'[13:17:00.016 21/01/2026]',-125014.8,-199723.4,-89017.52,-583.3805,-375000,-375000,-151023.4,-220054.3,0.02,0.00,0.89,-4,0,-2,5,0
'[13:17:00.020 21/01/2026]',-125008,-199717.7,-89012.34,-573.1434,-375000,-375000,-151014,-220069.9,0.02,0.00,0.89,-4,0,-2,5,0
'[13:17:00.024 21/01/2026]',-125020.6,-199669.5,-89027.17,-574.1716,-375000,-375000,-151027.3,-219781.9,0.02,0.00,0.89,-4,0,-2,5,0
'[13:17:00.028 21/01/2026]',-125017.3,-199671.8,-89020.6,-581.8159,-375000,-375000,-151021.9,-219921.5,0.02,0.00,0.89,-4,0,-2,5,0
'[13:17:00.032 21/01/2026]',-125015.5,-199721.8,-89018.28,-584.5875,-375000,-375000,-151023,-220052,0.02,0.00,0.89,-4,0,-2,5,0
'[13:17:00.036 21/01/2026]',-124998.8,-199728.3,-89005.58,-574.261,-375000,-375000,-151012.9,-220132.4,0.03,0.00,0.89,-4,0,-2,5,0
'[13:17:00.040 21/01/2026]',-125009.8,-199676.3,-89016.89,-572.9199,-375000,-375000,-151023.8,-219983.5,0.03,0.00,0.89,-4,0,-2,5,0
'[13:17:00.044 21/01/2026]',-125024.5,-199666.6,-89017.56,-581.3688,-375000,-375000,-151024.1,-219937.3,0.03,0.00,0.89,-4,0,-2,5,0
'[13:17:00.048 21/01/2026]',-125020.3,-199710.3,-89011.7,-585.571,-375000,-375000,-151022.9,-220078.1,0.03,0.00,0.89,-4,0,-2,5,0
'[13:17:00.052 21/01/2026]',-125003.1,-199728.9,-88994.77,-576.1385,-375000,-375000,-151005.7,-220223.7,0.03,0.00,0.89,-4,0,-2,5,0
'[13:17:00.056 21/01/2026]',-125018.2,-199685.9,-89012.87,-572.607,-375000,-375000,-151020.5,-219993.6,0.03,0.00,0.89,-4,0,-2,5,0
'[13:17:00.060 21/01/2026]',-125020.8,-199662.6,-89013.18,-581.6371,-375000,-375000,-151018.2,-220025.6,0.03,0.00,0.89,-4,0,-2,5,0
'[13:17:00.064 21/01/2026]',-125013.5,-199694.1,-89006.34,-578.8655,-375000,-375000,-151015.3,-220213.5,0.03,0.00,0.89,-4,0,-2,5,0
'[13:17:00.068 21/01/2026]',-125002.8,-199722.1,-88995.13,-570.9083,-375000,-375000,-151005.9,-220294.1,0.03,0.00,0.89,-4,0,-2,5,0
'[13:17:00.072 21/01/2026]',-124997.9,-199676.8,-88997.98,-559.8218,-375000,-375000,-151006.5,-220139.6,0.03,0.00,0.88,-4,0,-2,5,0
'[13:17:00.076 21/01/2026]',-125016.7,-199666.2,-89013.72,-575.915,-375000,-375000,-151016.5,-220104.8,0.03,0.00,0.88,-4,0,-2,5,0
'[13:17:00.080 21/01/2026]',-125018.2,-199696.6,-89010.37,-576.5409,-375000,-375000,-151014,-220200.8,0.03,0.00,0.88,-4,0,-2,5,0
'[13:17:00.084 21/01/2026]',-125003.9,-199730.5,-89000.8,-570.1483,-375000,-375000,-151007.2,-220304.5,0.03,0.00,0.88,-4,0,-2,5,0
'[13:17:00.088 21/01/2026]',-125004.5,-199701.4,-89009.78,-564.2474,-375000,-375000,-151010.7,-220138.7,0.03,0.00,0.88,-4,0,-2,5,0
'[13:17:00.092 21/01/2026]',-125023.2,-199666.6,-89025.84,-578.329,-375000,-375000,-151023.2,-219934.2,0.03,0.00,0.88,-4,0,-2,5,0
'[13:17:00.096 21/01/2026]',-125010.4,-199675.1,-89006.88,-570.7294,-375000,-375000,-151009.8,-220058.7,0.03,0.00,0.88,-4,0,-2,5,0
'[13:17:00.100 21/01/2026]',-125001.1,-199717.8,-88997.09,-564.5604,-375000,-375000,-151004.9,-220175.4,0.03,0.00,0.88,-4,0,-2,5,0
'[13:17:00.104 21/01/2026]',-124992.2,-199698.9,-88991.81,-552.9374,-375000,-375000,-150996.2,-220144,0.03,0.00,0.88,-4,0,-2,5,0
'[13:17:00.108 21/01/2026]',-125002.4,-199653.6,-89002.14,-558.9277,-375000,-375000,-151006.3,-219946.3,0.03,0.02,0.88,-4,0,-2,5,0
'[13:17:00.112 21/01/2026]',-125009.1,-199668,-88999.46,-567.5107,-375000,-375000,-151009.9,-219958.9,0.03,0.02,0.88,-4,0,-2,5,0
'[13:17:00.116 21/01/2026]',-125001.1,-199713.3,-88989.76,-563.8898,-375000,-375000,-151006.1,-220107.8,0.03,0.02,0.88,-4,0,-2,5,0
'[13:17:00.120 21/01/2026]',-124990.5,-199706.8,-88985.6,-553.4292,-375000,-375000,-151001,-220120.1,0.03,0.02,0.88,-4,0,-2,5,0
'[13:17:00.124 21/01/2026]',-125014,-199667.5,-89018.05,-570.0142,-375000,-375000,-151032.8,-219861.4,0.03,0.02,0.88,-4,0,-2,5,0
'[13:17:00.128 21/01/2026]',-125009.1,-199668.6,-89010.81,-578.9102,-375000,-375000,-151029.4,-219992.3,0.03,0.02,0.88,-4,0,-2,5,0
'[13:17:00.132 21/01/2026]',-125006.1,-199710.1,-89000.09,-572.3387,-375000,-375000,-151022,-220125.3,0.03,0.02,0.88,-4,0,-2,5,0
'[13:17:00.136 21/01/2026]',-124998.3,-199717.1,-88995.34,-563.8898,-375000,-375000,-151014.2,-220175.3,0.03,0.02,0.88,-4,0,-2,5,0
'[13:17:00.140 21/01/2026]',-125002.4,-199662.8,-89008.63,-559.1065,-375000,-375000,-151022.5,-219950.5,0.03,0.02,0.88,-4,0,-2,5,0
'[13:17:00.144 21/01/2026]',-125009.7,-199654.4,-89008.8,-563.6663,-375000,-375000,-151017.9,-219873.3,0.02,0.00,0.88,-4,0,-2,5,0
'[13:17:00.148 21/01/2026]',-125012.9,-199704.8,-89010.41,-571.7129,-375000,-375000,-151022.5,-219979.3,0.02,0.00,0.88,-4,0,-2,5,0
'[13:17:00.152 21/01/2026]',-125008.6,-199729.3,-89002.54,-570.64,-375000,-375000,-151016.6,-220112.5,0.02,0.00,0.88,-4,0,-2,5,0
'[13:17:00.156 21/01/2026]',-125020.5,-199685,-89017.38,-566.2591,-375000,-375000,-151030.6,-219866.8,0.02,0.00,0.88,-4,0,-2,5,0
'[13:17:00.160 21/01/2026]',-125021.5,-199668.2,-89019.3,-580.9218,-375000,-375000,-151028.8,-219876.4,0.02,0.00,0.88,-4,0,-2,5,0
'[13:17:00.164 21/01/2026]',-125018.8,-199702.5,-89018.37,-582.9781,-375000,-375000,-151029.7,-220028.9,0.02,0.00,0.88,-4,0,-2,5,0
'[13:17:00.168 21/01/2026]',-125017.8,-199735.8,-89015.2,-582.3524,-375000,-375000,-151028.5,-220111.8,0.02,0.00,0.88,-4,0,-2,5,0
'[13:17:00.172 21/01/2026]',-125019.8,-199704.9,-89022.16,-582.2182,-375000,-375000,-151037.9,-220009,0.02,0.00,0.88,-4,0,-2,5,0
'[13:17:00.176 21/01/2026]',-125031.7,-199676,-89029.19,-588.6108,-375000,-375000,-151046.7,-219868.1,0.02,0.00,0.88,-4,0,-2,5,0
'[13:17:00.180 21/01/2026]',-125030.3,-199706.2,-89025.52,-592.053,-375000,-375000,-151041.2,-219964.6,0.02,0.00,0.88,-4,0,-2,5,0
'[13:17:00.184 21/01/2026]',-125018.5,-199749.4,-89020.34,-592.6788,-375000,-375000,-151035.5,-220163.4,0.02,0.00,0.88,-4,0,-2,5,0
'[13:17:00.188 21/01/2026]',-125017.4,-199721.4,-89025.07,-586.5544,-375000,-375000,-151040.2,-220067.8,0.02,0.00,0.88,-4,0,-2,5,0
'[13:17:00.192 21/01/2026]',-125034.9,-199689.8,-89033.56,-600.8596,-375000,-375000,-151050.4,-219928.3,0.02,0.00,0.88,-4,0,-2,5,0
'[13:17:00.196 21/01/2026]',-125023.9,-199699,-89015.69,-595.5845,-375000,-375000,-151035.5,-220085.5,0.02,0.00,0.88,-4,0,-2,5,0
