'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','AccX','AccY','AccZ','GyroX','GyroY','GyroZ','Battery','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]','uV','uV','uV','uV','uV','uV','uV','uV','G','G','G','Deg/s','Deg/s','Deg/s','%','Button'
'[13:15:00.000 21/01/2026]',-122466.3,-198348.5,-85789.48,630.4533,-375000,-375000,-149824.2,-227298.1,0.05,0.02,0.88,-4,0,-2,12,0
'[13:15:00.004 21/01/2026]',-122464.6,-198319.2,-85770.52,641.9868,-375000,-375000,-149799.4,-227577,0.05,0.02,0.88,-4,0,-2,12,0
'[13:15:00.008 21/01/2026]',-122513,-198375.1,-85791.09,628.4863,-375000,-375000,-149803.7,-227701.8,0.05,0.02,0.88,-4,0,-2,12,0
'[13:15:00.012 21/01/2026]',-122575.8,-198458.5,-85832.13,592.2318,-375000,-375000,-149835.2,-227405.4,0.05,0.02,0.88,-4,0,-2,12,0
'[13:15:00.016 21/01/2026]',-122582.9,-198437.3,-85832.57,590.5778,-375000,-375000,-149835.4,-227342.7,0.05,0.02,0.88,-4,0,-2,12,0
'[13:15:00.020 21/01/2026]',-122580.6,-198392.3,-85819.61,607.3416,-375000,-375000,-149812.7,-227574.1,0.05,0.02,0.88,-4,0,-2,12,0
'[13:15:00.024 21/01/2026]',-122627.9,-198451.4,-85832.88,603.9888,-375000,-375000,-149797.5,-227558.4,0.05,0.02,0.88,-4,0,-2,12,0
'[13:15:00.028 21/01/2026]',-122656,-198508.3,-85850.45,573.4564,-375000,-375000,-149816.5,-227421,0.05,0.02,0.88,-4,0,-2,12,0
'[13:15:00.032 21/01/2026]',-122647.3,-198483.5,-85852.2,574.1269,-375000,-375000,-149819.1,-227458.1,0.05,0.02,0.88,-4,0,-2,12,0
'[13:15:00.036 21/01/2026]',-122641.4,-198423.9,-85844.15,593.5282,-375000,-375000,-149803.3,-227666.5,0.03,0.00,0.88,-4,0,-2,12,0
'[13:15:00.040 21/01/2026]',-122618,-198416.7,-85823.68,610.5602,-375000,-375000,-149790.1,-227761.2,0.03,0.00,0.88,-4,0,-2,12,0
'[13:15:00.044 21/01/2026]',-122651.4,-198490.3,-85853.98,581.4583,-375000,-375000,-149822.4,-227518.9,0.03,0.00,0.88,-4,0,-2,12,0
'[13:15:00.048 21/01/2026]',-122635.3,-198469.2,-85848.53,585.4369,-375000,-375000,-149813.3,-227332.7,0.03,0.00,0.88,-4,0,-2,12,0
'[13:15:00.052 21/01/2026]',-122592.7,-198378.2,-85826.41,608.9956,-375000,-375000,-149799.4,-227493.4,0.03,0.00,0.88,-4,0,-2,12,0
'[13:15:00.056 21/01/2026]',-122581.7,-198362.8,-85819.88,621.0656,-375000,-375000,-149804.9,-227561.3,0.03,0.00,0.88,-4,0,-2,12,0
'[13:15:00.060 21/01/2026]',-122585.7,-198409.7,-85823.23,596.7021,-375000,-375000,-149807.5,-227490.4,0.03,0.00,0.88,-4,0,-2,12,0
'[13:15:00.064 21/01/2026]',-122562.7,-198395,-85818.8,603.9888,-375000,-375000,-149807.1,-227338.2,0.03,0.00,0.88,-4,0,-2,12,0
'[13:15:00.068 21/01/2026]',-122529.8,-198313,-85802.45,625.6253,-375000,-375000,-149800.7,-227503.6,0.03,0.00,0.88,-4,0,-2,12,0
'[13:15:00.072 21/01/2026]',-122493.4,-198275.9,-85772.89,651.3298,-375000,-375000,-149770.9,-227741.6,0.02,0.00,0.88,-4,0,-2,12,0
'[13:15:00.076 21/01/2026]',-122507.3,-198321,-85790.1,636.4883,-375000,-375000,-149802.2,-227571.6,0.02,0.00,0.88,-4,0,-2,12,0
'[13:15:00.080 21/01/2026]',-122508.8,-198344.3,-85799.72,624.1054,-375000,-375000,-149824.4,-227322.2,0.02,0.00,0.88,-4,0,-2,12,0
'[13:15:00.084 21/01/2026]',-122478.2,-198269.3,-85785.68,642.5232,-375000,-375000,-149814.5,-227396.8,0.02,0.00,0.88,-4,0,-2,12,0
'[13:15:00.088 21/01/2026]',-122443.4,-198223.7,-85760.02,666.2608,-375000,-375000,-149792.3,-227649.6,0.02,0.00,0.88,-4,0,-2,12,0
'[13:15:00.092 21/01/2026]',-122450.1,-198263.2,-85767.53,651.2851,-375000,-375000,-149813.4,-227558,0.02,0.00,0.88,-4,0,-2,12,0
'[13:15:00.096 21/01/2026]',-122461.7,-198305.7,-85779.6,631.2133,-375000,-375000,-149838.2,-227410.3,0.02,0.00,0.88,-4,0,-2,12,0
'[13:15:00.100 21/01/2026]',-122441.2,-198250,-85769.63,652.4921,-375000,-375000,-149812.9,-227438.6,0.02,0.00,0.88,-4,0,-2,12,0
'[13:15:00.104 21/01/2026]',-122408.6,-198192.2,-85747.86,671.6252,-375000,-375000,-149797.1,-227696.8,0.02,0.00,0.88,-4,0,-2,12,0
'[13:15:00.108 21/01/2026]',-122411.3,-198215.9,-85747.01,673.9945,-375000,-375000,-149801.2,-227668.1,0.02,0.00,0.89,-4,0,-2,12,0
'[13:15:00.112 21/01/2026]',-122436.2,-198281.7,-85768.42,649.0052,-375000,-375000,-149823.3,-227442.8,0.02,0.00,0.89,-4,0,-2,12,0
'[13:15:00.116 21/01/2026]',-122423.1,-198249.1,-85772.18,651.8215,-375000,-375000,-149834.4,-227384,0.02,0.00,0.89,-4,0,-2,12,0
'[13:15:00.120 21/01/2026]',-122396.5,-198184.5,-85750.72,672.4745,-375000,-375000,-149818.5,-227620.7,0.02,0.00,0.89,-4,0,-2,12,0
'[13:15:00.124 21/01/2026]',-122387.5,-198191.2,-85739.63,683.114,-375000,-375000,-149807.2,-227598.9,0.02,0.00,0.89,-4,0,-2,12,0
'[13:15:00.128 21/01/2026]',-122411.7,-198262.2,-85759.48,649.5864,-375000,-375000,-149828,-227531.9,0.02,0.00,0.89,-4,0,-2,12,0
'[13:15:00.132 21/01/2026]',-122401.7,-198237.2,-85762.84,659.6894,-375000,-375000,-149829.6,-227386.6,0.02,0.00,0.89,-4,0,-2,12,0
'[13:15:00.136 21/01/2026]',-122375.7,-198177.8,-85747.81,672.564,-375000,-375000,-149812.9,-227630.8,0.02,0.00,0.89,-4,0,-2,12,0
'[13:15:00.140 21/01/2026]',-122363.3,-198179.8,-85734.49,681.5941,-375000,-375000,-149800,-227876.9,0.02,0.00,0.89,-4,0,-2,12,0
'[13:15:00.144 21/01/2026]',-122389.1,-198232.9,-85755.55,666.529,-375000,-375000,-149825.5,-227601.6,0.03,0.02,0.88,-4,0,-2,12,0
'[13:15:00.148 21/01/2026]',-122394.2,-198235.5,-85763.15,659.8682,-375000,-375000,-149836.8,-227438.6,0.03,0.02,0.88,-4,0,-2,12,0
'[13:15:00.152 21/01/2026]',-122377.2,-198173.5,-85755.95,672.1169,-375000,-375000,-149837,-227608,0.03,0.02,0.88,-4,0,-2,12,0
'[13:15:00.156 21/01/2026]',-122362.4,-198164.7,-85744.06,686.4221,-375000,-375000,-149831.2,-227701.5,0.03,0.02,0.88,-4,0,-2,12,0
