subject,phase,n_samples,duration_sec,theta_power_raw,theta_power_filtered,alpha_power_raw,alpha_power_filtered,ratio_raw,ratio_filtered
Daniel,baseline_eyes_open,234,90.71066160015471,272.03575304989477,18.918837458098512,954.0156812718167,72.81853418403252,0.2851480938837805,0.2598079962758574
Daniel,baseline_eyes_closed,233,90.32300920015405,280.7662040813841,10.674647520384237,1292.7393293243017,71.34097079286016,0.21718702116701052,0.14962857109666022
Daniel,low_cognitive_load,467,181.03367080030876,163.43045742070848,17.564930779203777,91.7531911277381,6.39485981548759,1.781196440276195,2.7467264781416483
Daniel,high_cognitive_load,468,181.42132320030942,35.1602775584351,25.506216165643057,11.503444578075095,3.9410364148675567,3.056499930937953,6.471956480640696
Edgar,baseline_eyes_open,235,90.60819799863566,67.66141492432419,4.144940636517208,97.32082502604146,19.187962310902925,0.6952408686036016,0.21601775995578135
Edgar,baseline_eyes_closed,235,90.60819799863566,24.393720315985046,2.3060180944210145,17.459783821780086,5.523694188146168,1.397137591449172,0.4174775097741151
Edgar,low_cognitive_load,467,180.05969559728874,15.220484160865173,0.7823387551901329,35.2477575620549,7.980701119336979,0.431814254681847,0.09802882522370766
Edgar,high_cognitive_load,473,182.3730963972539,11.39092902726703,1.8816260811027918,56.72666894673976,17.155943265315088,0.20080377076189485,0.10967779806703819
Edwin,baseline_eyes_open,233,90.31552989999545,47.97616836174451,9.011735435777156,15.453035660950551,1.527653960826904,3.1046436062384255,5.899068550117982
Edwin,baseline_eyes_closed,234,90.70315019999543,30.360658253878906,64.4807239507389,46.0813903152138,110.3666233333242,0.6588485730617228,0.5842411591772377
Edwin,low_cognitive_load,466,180.6310597999909,16.859458676139635,27.190396983196553,20.28113739230518,16.117731667219747,0.8312876319518571,1.686986577552746
Edwin,high_cognitive_load,473,183.34440189999077,13.651845625756149,1.9137183363250667,14.932122160947522,7.942440166244454,0.9142602423559243,0.24094841084965446
edwin2,baseline_eyes_open,234,90.19487879907865,1.719624470846169,0.6559905628834575,5.496473784612064,2.9551457298610444,0.3128595783828592,0.2219824749266437
edwin2,baseline_eyes_closed,234,90.19487879907865,0.3882464798404113,0.3105890992653637,1.7120125611188703,0.6372170995199364,0.22677782199604674,0.48741488497303953
edwin2,low_cognitive_load,473,182.31699859813762,3.496528416286947,0.776918767450292,5.13006871256764,3.069586259936262,0.6815753574062572,0.2531021126822558
edwin2,high_cognitive_load,464,178.84796479817305,5776.067983656022,204248.26594537724,159345.46041445842,1668.7098349704092,0.03624871376085919,122.39891062246848
eliza,baseline_eyes_open,234,91.36637639997298,0.40577488933728384,0.06522057533705594,9.043026825122759,9.383719718497108,0.044871578641123344,0.006950396782258287
eliza,baseline_eyes_closed,234,91.36637639997298,1.8635948015022845,0.10272942953171893,1.0583776128774809,0.26835000838479545,1.7608033076546343,0.3828188050004157
eliza,low_cognitive_load,460,179.60911599994688,13.697515951573688,1.0471377223998917,5.976298652927095,13.188404257190884,2.2919731337162785,0.07939836404612387
eliza,high_cognitive_load,459,179.218661399947,15.67428020526833,0.6590254421172232,15.01040785365294,12.626875105458772,1.0442274692392073,0.05219228325401884
Jeronimo,baseline_eyes_open,214,82.79538020014479,1.0185662153189994,1002.2935792765959,2.4149786591292477,53.662652475420316,0.4217702758856912,18.67767493855596
Jeronimo,baseline_eyes_closed,232,89.75947760015698,3.782029062048523,1.6805533984829175,9.812796767405075,1.5822081969563726,0.3854180568185408,1.0621569283459202
Jeronimo,low_cognitive_load,468,181.06653240031667,5.042380467692424,1.8349804093917066,19.157728243059154,4.2134679096576555,0.26320346565722263,0.435503591990285
Jeronimo,high_cognitive_load,470,181.84032100031803,6898.956271209708,110911.62443222836,16882.6915762792,93354.60156433209,0.40864078100573686,1.1880681034860126
Joss,baseline_eyes_open,235,91.0336655003266,27.02083778313905,782.5608125341489,4.413413260188218,1200.3615489757976,6.12243544625293,0.6519375876392116
Joss,baseline_eyes_closed,232,89.87153360032244,6.370708035853093,4.997950469145419,5.800838572575325,3.4334611171343017,1.0982391521756778,1.455659551291759
Joss,low_cognitive_load,469,181.67995370065182,36.17898570354442,13.99697765763894,7.697871460640228,4.732076970476414,4.699868773924088,2.957893065765107
Joss,high_cognitive_load,471,182.4547083006546,269.10689587166416,208.3566332637345,126.87534105002003,17.51348714251844,2.121033871866165,11.896924442756797
